zip,city,state,lat,lon
75201,Dallas,TX,32.7876,-96.7994
76102,Fort Worth,TX,32.7555,-97.3308
77002,Houston,TX,29.7604,-95.3698
78205,San Antonio,TX,29.4241,-98.4936
79901,El Paso,TX,31.7587,-106.4869
73102,Oklahoma City,OK,35.4676,-97.5164
30303,Atlanta,GA,33.7490,-84.3880
31401,Savannah,GA,32.0809,-81.0912
28202,Charlotte,NC,35.2271,-80.8431
37203,Nashville,TN,36.1627,-86.7816
38103,Memphis,TN,35.1495,-90.0490
35203,Birmingham,AL,33.5186,-86.8104
32202,Jacksonville,FL,30.3322,-81.6557
33602,Tampa,FL,27.9506,-82.4572
33131,Miami,FL,25.7617,-80.1918
32801,Orlando,FL,28.5383,-81.3792
70112,New Orleans,LA,29.9511,-90.0715
72201,Little Rock,AR,34.7465,-92.2896
39201,Jackson,MS,32.2988,-90.1848
40202,Louisville,KY,38.2527,-85.7585
45202,Cincinnati,OH,39.1031,-84.5120
43215,Columbus,OH,39.9612,-82.9988
44114,Cleveland,OH,41.4993,-81.6944
46204,Indianapolis,IN,39.7684,-86.1581
60607,Chicago,IL,41.8781,-87.6298
63101,St Louis,MO,38.6270,-90.1994
64106,Kansas City,MO,39.0997,-94.5786
53202,Milwaukee,WI,43.0389,-87.9065
55401,Minneapolis,MN,44.9778,-93.2650
50309,Des Moines,IA,41.5868,-93.6250
68102,Omaha,NE,41.2565,-95.9345
48226,Detroit,MI,42.3314,-83.0458
15222,Pittsburgh,PA,40.4406,-79.9959
19107,Philadelphia,PA,39.9526,-75.1652
17101,Harrisburg,PA,40.2732,-76.8867
21202,Baltimore,MD,39.2904,-76.6122
20001,Washington,DC,38.9072,-77.0369
23219,Richmond,VA,37.5407,-77.4360
10001,New York,NY,40.7128,-74.0060
14202,Buffalo,NY,42.8864,-78.8784
07102,Newark,NJ,40.7357,-74.1724
02108,Boston,MA,42.3601,-71.0589
06103,Hartford,CT,41.7658,-72.6734
80202,Denver,CO,39.7392,-104.9903
84101,Salt Lake City,UT,40.7608,-111.8910
85003,Phoenix,AZ,33.4484,-112.0740
87102,Albuquerque,NM,35.0844,-106.6504
89101,Las Vegas,NV,36.1699,-115.1398
90012,Los Angeles,CA,34.0522,-118.2437
92101,San Diego,CA,32.7157,-117.1611
94102,San Francisco,CA,37.7749,-122.4194
95814,Sacramento,CA,38.5816,-121.4944
93721,Fresno,CA,36.7378,-119.7871
97204,Portland,OR,45.5152,-122.6784
98104,Seattle,WA,47.6062,-122.3321
99201,Spokane,WA,47.6588,-117.4260
83702,Boise,ID,43.6150,-116.2023
59601,Helena,MT,46.5891,-112.0391
57104,Sioux Falls,SD,43.5446,-96.7311
58102,Fargo,ND,46.8772,-96.7898
67202,Wichita,KS,37.6872,-97.3301
36104,Montgomery,AL,32.3792,-86.3077
29201,Columbia,SC,34.0007,-81.0348
25301,Charleston,WV,38.3498,-81.6326
65101,Jefferson City,MO,38.5767,-92.1735
